comment,compound,positive,negative,neutral
"I saw that on the samsung store, i really like it too. But sadly im out of budget to have that 😢",-0.7878,0.064,0.264,0.672
I just got mine yesterday though my phone  company  and I got mine in navy blue and I really love this phone,0.6697,0.176,0.0,0.824
I've just upgraded from S10+... really looking forward to it!! I'm getting it tomorrow 🎉🎉,0.717,0.272,0.0,0.728
So no AKG headphones in the box and no charger. What a rip off.,-0.5709,0.0,0.281,0.719
Certainly a very fast processing speed and the screen responds to the finger tapping much faster,0.34,0.138,0.0,0.862
I got the pink gold s25 512gb,0.0,0.0,0.0,1.0
Switching from iPhone 12 Pro Max,0.0,0.0,0.0,1.0
"Had an S8 I broke about 4 months ago, got the pixel 8 and regret it so much, now I'm looking at Samsung phones again",-0.6808,0.0,0.196,0.804
Samsung A16 5g please review 🥹,0.3182,0.315,0.0,0.685
He says Blue I see White :),0.4588,0.333,0.0,0.667
Give it away please 😭,-0.2023,0.221,0.298,0.481
Can't wait! My s25 icy blue❤,0.6696,0.391,0.0,0.609
How is it with gaming,0.0,0.0,0.0,1.0
I want it,0.0772,0.394,0.0,0.606
"just bought the s25, selling my sony xperia 5 v",0.0,0.0,0.0,1.0
"Apple's awful customer service I experienced with my last Iphone turned me off from Apple for life. I don't really partake in the whole brand loyalty thing between Android vs Apple, otherwise. Seems crazy to me a company like Apple would still have only just a 60 Hz display on their $1K+ phone in 2025 though. I'm not into gaming on my phone either.",0.1531,0.084,0.076,0.84
I personally believe that the majority of people choose iphone because of the camera. I have an iphone 15pro and Samsung a05 but I use more the a05 just to save the battery life.,0.6486,0.115,0.0,0.885
"It’s not only in bits that the Samsung display is inferior, but also in colour gamut. 
The iPhone can show more colours. 

The iPhone has a P3 colour gamut whereas the Samsung only has SRGB. That means the iPhone can display more colours and more shades of colour. 

P3 is preferred by professional photographers and videographers and desktop publishers for its colour accuracy.",-0.2144,0.0,0.029,0.971
Here in my country the price difference between an Iphone 16 and a Galaxy S25 is 30%. So there is not much reason to get an Iphone,0.0,0.0,0.0,1.0
"S25 is way ahead, no comparison.",-0.296,0.0,0.306,0.694
S25 have the snapdragon8elit ...the base model of 25 series is more powerfull then top model of 16 series ... no others word,-0.0352,0.082,0.087,0.831
Based,0.0,0.0,0.0,1.0
"I've upgraded from Galaxy S23 last week. Not much of an improvement, but:

Better screen (better brightness 1750 nit to 2600 nit , LTPO panel, 6,1"" to 6,2"" without growing the form factor)
Weight loss (168 to 162 grams)
Slightly better battery capacity (3900mAh to 4000 mAh)
Better design to me (flat phone bezel, matte finish)

The S23 was the perfect phone to me so these little improvements made me decide to bring in the S25 and sell my previous device (was not interested in S24 cause the Exynos chip). That way the next owner gets hardly 12 month of official Samsung warranty with my used S23 and if I remember correctly 3 years update of the software. Because of that, I get my stuff updated plus the next fella will be satisfied with my previous device = less e-waste. Sounds fair to me.",0.9817,0.2,0.044,0.756
WOW. Don't even know how to clean a lens for a video. You clearly need glasses.,0.873,0.433,0.0,0.567
Apple biased Video..,-0.2732,0.0,0.512,0.488
"at 7:40, i believe you made a mistake, the iphone video it horrible, shaky, and unusable, but still you say the iphone is a little bit better. makes no sense. and in the next part, you say ""on the other hand, the iphone is better during the day""",0.7493,0.191,0.135,0.675
What wallpaper is he using in s25?,0.0,0.0,0.0,1.0
Got my S25 512 GB for 850$ :),0.4588,0.3,0.0,0.7
This is like comparing Messi and Ronaldo while both of the are the best😂😂😂,0.9371,0.404,0.127,0.469
I would pick the S25 in regards to software and as a phone but if I cared about nothing else but battery life then I would pick the iPhone 16.,0.5719,0.113,0.0,0.887
04:34 samsung looks more natural,0.4201,0.411,0.0,0.589
No Telephoto No 120 Hz No AI  in 2025 makes iphone 16 still a bad decision but those who are supporting the iphone16 is just due to society pressure 😂😂,0.7746,0.272,0.225,0.503
giving u upfront all features and give green / white / pink saber 2 years later~ go for samsung if u enthusiate color saber on ur screen,0.34,0.085,0.0,0.915
"ya choose wisely.. of cos apple... samsung green line issue is getting worse on its flasghip, bought Z flip 5, S23 not even 2 years of using, get green and white saber on the screen. And you have to pay for it like the green line and white line is consumer fault.",-0.2263,0.089,0.121,0.79
What's the use of 120 hz other than scrolling?,0.0,0.0,0.0,1.0
I wonder if the slowdowns on the iPhone is the new modem lagging?,-0.2732,0.0,0.149,0.851
iPhone❤,0.6369,0.677,0.0,0.323
"Don't buy an iPhone, support Palestine",0.4019,0.351,0.0,0.649
Samsung looks and feels cheap..,0.0,0.0,0.0,1.0
What nobody ever mentions is if you don’t have an iphone your chances of getting laid decrease by 20% most woman prefer guys who have iphones,0.2023,0.067,0.0,0.933
이번 16e는 재활용도 안되는 쓰레기,0.0,0.0,0.0,1.0
S25 is cheaper in my country lol,0.4215,0.318,0.0,0.682
"dude you conduct the stupidest tests of no use to the consumer. 

whats next  iphone 4 vs  Galaxy S26 ? You sound like a real dum*ass . and why are you always whispering?",-0.5362,0.065,0.155,0.78
"What if there were no sanctions on Huawei, and the video showed a Huawei Mate Pro with a 3nm processor made by Huawei🔥?",-0.5574,0.0,0.173,0.827
Those 2 phones at the same price in Canada. There is no way to get an inferior phone over the other.,-0.5994,0.0,0.205,0.795
S25 is a no brainer choice this time around!,-0.3595,0.0,0.238,0.762
The difference with stability was just the Gemini app being the assistant app and therefore not going back to the icon,0.0,0.0,0.0,1.0
samsung rock but iphone is brand,0.0,0.0,0.0,1.0
Thank you 😊❤,0.9136,0.718,0.0,0.282
iphone even performs as mid tier phone :o,-0.1027,0.0,0.167,0.833
Айфон все равно лучше и на вторичном рынке айфон можно продать дороже)) 😊. Спасибо за видео .,0.7184,0.24,0.0,0.76
hshjiaiaooqoqjdghsuiaiqiiduhduaiiqisiudusjhdhwjkqiduwioqoduhdiriwiiqidhejqiqiifuhsjwjkqkdkjsjkakkoqoqofjhwjqjifgqhhdhqjiqofhjqkqjfjwioqqodouqiiqidujqihwjd😂,0.4404,0.392,0.196,0.412
Love to see comparison on all current 6.1 sizes .,0.6369,0.318,0.0,0.682
No phones can beat iPhone display and the security.,0.0516,0.207,0.19,0.603
"For someone who doesn’t mind what OS is their phone operating on, the S25 is the obvious choice between these two. BUT for someone who loves iOS like me the choice is clear and is the iPhone 16e 🤷🏼‍♂️",0.9136,0.218,0.0,0.782
S25 ❤,0.6369,0.677,0.0,0.323
Got the s25 in navy today ❤,0.6369,0.375,0.0,0.625
Samsung ❤,0.6369,0.677,0.0,0.323
Base model Samsung is better than pro iphone,0.4404,0.293,0.0,0.707
The Iphone 16 Looks like Baby phone design,0.3612,0.263,0.0,0.737
S25 🔥,-0.34,0.0,0.706,0.294
SAMSUNG S25,0.0,0.0,0.0,1.0
"Bcs i miss my Galaxy A50, so i'd choose iphone 16",-0.1531,0.0,0.138,0.862
iPhone.,0.0,0.0,0.0,1.0
S25❤,0.6369,0.677,0.0,0.323
"For me isn't about specs, is about user experience. For me, the curation of apps in the Google store is still very bad. Too many Junkapps. 
And the integration with other Apple devices is even more efficient for me. But Apple needs to bring out more affordable devices.",-0.09,0.041,0.048,0.912
iPhone ❤,0.6369,0.677,0.0,0.323
Samsung s25🔥🔥🔥❤,-0.25,0.292,0.5,0.208
Sumsung s25 best 👌,0.8842,0.838,0.0,0.162
I am 25 ultra buyer❤,0.6369,0.412,0.0,0.588
If iphone 16 had atleast 90hz I would have taken that,0.0,0.0,0.0,1.0
Both samsung galaxy and iphone look cheaper and less attractive compare to the last generation or their predecessor.,0.3832,0.133,0.0,0.867
"Watching through my S25. I liked it but no more than my old Honor Magic 5. Honestly this year has been a let down for most of these big brands. Might as well get chinese phones, offers better for that price range.",0.9313,0.301,0.05,0.649
bro @DustyKing is the most iSheep of all iSheep,0.0,0.0,0.0,1.0
S.25,0.0,0.0,0.0,1.0
Man that iphone looks so outdated 🤡🤮,0.0,0.0,0.0,1.0
Bro missed charging & data transfer port generation compare,-0.296,0.0,0.216,0.784
I use Iphone 13.. apart from high refresh rates.. this is a beast..!!!,0.0,0.0,0.0,1.0
La comparativa sería más justa con el Galaxy S25 h el iphone 16 Pro,0.0,0.0,0.0,1.0
"""only"" 90 minutes to fully charge😭my current phone charges for 40 mins",-0.6666,0.0,0.296,0.704
As always apple never stops sucking the blood out of their customers. Samsung is not far behind but at least way behind than apple. BTW happy s23 customer here😂.,0.8785,0.262,0.054,0.685
I thought S25 has the Anti reflective coating on screen. He never mentioned it. I think that is a deal breaker in selecting any smartphone.,-0.3182,0.0,0.087,0.913
Watching in S25😗,0.5719,0.481,0.0,0.519
In Samsung you have to turn on adaptive brightness to get the brightest displays in outdoors.,0.765,0.32,0.0,0.68
its high time for samsung to improve camera hardware  and battery tech among all the models with the s26 series which they wont do so,0.4404,0.108,0.0,0.892
Support and Subscribe kardo guys 🙏🏻  👉🏻  #ayonsofficial,0.4019,0.137,0.0,0.863
S25's screen replacement should cost more than 13k because recently I have made a screen replacement on my s21 fe which cost 13k,0.0,0.0,0.0,1.0
But still I'll choose I Phone 16,0.0,0.0,0.0,1.0
That 120 hz is just wow,0.5859,0.432,0.0,0.568
60 hz kill the vibe 😂,-0.4215,0.218,0.379,0.402
You need only what Apple offers you and for that you have to pay them your fortune! Suckers!,-0.6467,0.0,0.248,0.752
"Record my words, the way samsung is developing its AI features, with next 7 years of update in S25 they will make one UI an Alian working for you
I hv s22 and it is way better than iphon 13 now in each aspect.",0.4404,0.063,0.0,0.937
But seriously.....why don't they just update it to 120 maybe even 90,0.0,0.0,0.0,1.0
Samsung is Better to use ❤,0.7964,0.587,0.0,0.413
"People think they can't live without iMessage. People will buy apple no matter what. even if the S25 was 2x better in every way, 99% will still buy iPhone with trash specs.",0.4265,0.085,0.032,0.883
I have the iPhone 16 and it’s literally so fricking terrible,-0.5678,0.0,0.269,0.731
Love the iphone always been super reliable especially for gaming. Always keeping the performance consistent 😊,0.9337,0.468,0.0,0.532
60htz has let the I phone 16 down,0.0,0.0,0.0,1.0
Got the names from video at 7:19. Thanks,0.4404,0.293,0.0,0.707
Hi bro. Pls provide the Name of the game played before the game STACK. If it's not available in play store provide the link to download as well,0.4145,0.182,0.064,0.754
Can’t agree more 👍🏻 I’ll switch to the S25 right now I have iPhone 15 and I need to go back to Samsung after 3 years of using iPhones,0.3612,0.072,0.0,0.928
How's this not having comments,0.0,0.0,0.0,1.0
Games names?,0.0,0.0,0.0,1.0
"Did have a i phone 12, upgraded to the s24 ultra, wanted to try it in a shop with a case but couldn't, so took a chance, bought ultra direct from Samsung, but after 2 months of deliberating, decided it too big with case on, don't get me wrong it a great phone, but hard to use 1 handed also pretty heavy, (i like it as the object eraser is great) wish apple could do split screen, as that can be a game changer for a lot of people, yet I   may go back to the I phone,",0.9835,0.238,0.013,0.749
"IT'S NOT COMPACT ASSHOLES!!!...OR...(R)...(""ARE"" OK..)...ARE FUCKIN...NORMAL!!!...NOOORMAAAAL!!!!...U HAD EXPERIENCED ALREADY N WITH A FUCKIN 4 INCH...4.5...5 INCHES...FLAGSHIPS...(IN THE PAST??...SO BE IT!...YES IN PAST!!)....STOP ACTING LIKE...(U THE UTUBERS LIKE U)...LIKE...20 YO OR...LESS YO GUYS/KIDS!!!....ENOUGH!!...MERCY!!!",0.6967,0.133,0.0,0.867
I regret buying samsung,-0.4215,0.0,0.483,0.517
"I want to like the iphone but they miss key apps which I use that can't work on iphone.

• Fake location setter 
• App cloning
• Snap screenshot app 
• Plus other apps you cant get",-0.631,0.069,0.144,0.787
Why the iphone 16 pro and not just the 16😮,0.0,0.0,0.0,1.0
"Watching on my iPhone 16 pro desert titanium coming from iPhone 12 user.
Feels great with huge upgrades!",0.7712,0.295,0.0,0.705
"I challenge you to meet in same area where you took those photos (if you took them). And compare phones again, you bring them and I bring them. iPhone 16 PRO camera is the same camera that iPhone16 PRO MAX has. And S25 has camera from S22. Unless you S25 is very special the camera review is all wrong.",0.0498,0.068,0.049,0.883
My Samsung has telephoto zoom on it already juat as the iphone. All it sounded like was you amping up iphone for no actual good reasons.,-0.2746,0.083,0.153,0.764
"Although iOS is being improved for customization, but it's still far behind from Android Customization and personal use. I prefer it, for other Specs in these high end devices were developped to the extent there are little differences on comparison. I would prefer S25 than 16 pro",0.2617,0.043,0.0,0.957
Please Compare S24 ultra VS s25+ pllus,0.3182,0.277,0.0,0.723
I already regret change to samsung and want back my iPhone. User experience and ui interface is far better in iPhone 😢,-0.4019,0.144,0.203,0.653
"If you're going for bang for buck, its hard to fault anything on the Xiaomi 14/15, if we're talking compact phones.",-0.4767,0.0,0.177,0.823
"Kinda obvious, samsung is a win without even watching the whole vid",0.5859,0.257,0.0,0.743
Samsung Galaxy S25 for me and my opinion ❤,0.6369,0.318,0.0,0.682
S25 way more realistic photos then iphone,0.0,0.0,0.0,1.0
I used the S23 before and I should’ve upgraded to S25 instead of switching to iPhone 15 😢😩,-0.6369,0.0,0.215,0.785
16pro it really 6.3? because that big big black island is about -0.5 inches,0.0,0.0,0.0,1.0
"To those saying that this is an unfair comparison, no it's not. GSMArena was also comparing Galaxy_S24 with iPhone 15 pro a year ago and it went on par with that. But unfortunately this year in the s25, you basically get the same camera sensors as the  S22 that's why it seems unfair. Blame Samsung for their ugly business practices",-0.9549,0.0,0.255,0.745
"iPhone 16 pro has higher peak brightness sometimes, but I notice under directly sunlight that Galaxy S25 colours are not washout compared to iPhone 16 pro display.

Edited: Yes, there's a feature called vision booster in galaxy.",0.7814,0.188,0.0,0.812
I have an S25 because Cupertino treats their base like their in an abusive relationship!!😄😊,0.855,0.386,0.111,0.503
S25☠,0.0,0.0,0.0,1.0
S25 wins ❤❤🎉🎉🎉🎉😁😁😁😁💪,0.9871,0.583,0.0,0.417
Samsung phone is best,0.6369,0.583,0.0,0.417
I 16คือเก่าๆ,0.0,0.0,0.0,1.0
برو بابا فقط واسه طرفداران سامسونگ بود,0.0,0.0,0.0,1.0
I love Galaxy but Samsung should make their One UI better. One UI 7 is still worse than iOS,0.3182,0.242,0.156,0.602
Mujhe iPhone 15 sell krna h,0.0,0.0,0.0,1.0
S25 I love it,0.6369,0.583,0.0,0.417
DAY 23 OF COMMETING TILL THUS CHANNEL GIVE ME A VIVO IQOO 13,0.0,0.0,0.0,1.0
Day 22 of commeting till this dude give me a iqoo13,0.0,0.0,0.0,1.0
Bhai iqoo 13 5g Vs redmi K80 pro 5g please compare video 😢,-0.2023,0.132,0.178,0.69
Day 21 of commeting till this guy gave me a iqoo13,0.0,0.0,0.0,1.0
in terms of connectivity you should say that the iphone does have UWB for trascking devices and the base s25 does not. i really think thats a stupid decision from samsung.,-0.5267,0.0,0.102,0.898
"In a long time usage, iphone is better than Samsung. That's why I'm confused making a decision which is the best.",0.7003,0.259,0.084,0.657
"The specifications of mobile phones are lagging behind and uncompetitive, and the processors are also being caught up.",-0.2732,0.0,0.11,0.89
Winner samsung s25,0.5859,0.655,0.0,0.345
Day 20 of commenting till this guy give me a iqoo13,0.0,0.0,0.0,1.0
Realme 14 pro plus vs vivo v30,0.0,0.0,0.0,1.0
Realme 14 pro plus vs vivo v30,0.0,0.0,0.0,1.0
Realme 14 pro plus vs vivo v30,0.0,0.0,0.0,1.0
"I want to buy phone for better durability and  long life no matter of screens refresh rat
Please suggest iPhone 16 or S25",0.6626,0.245,0.04,0.715
S25,0.0,0.0,0.0,1.0
For me it's a stupidity to pay 85K for 60tz display,-0.5106,0.0,0.323,0.677
Bhai ka thumbnail dekh aisa lg rha he ladki ched rha he,0.0,0.0,0.0,1.0
"Am not fan of samsung or iphone 
1] s25 has telephoto lens
2] performance s25 is better
3] 120hz refresh rate 
4] user friendly 
So s25 is better",0.8075,0.263,0.056,0.681
Biased video.,-0.2732,0.0,0.677,0.323
Sounds like an iPhone lover,0.743,0.677,0.0,0.323
Samsung should start providing Dolby vision in both phone and tv keeping the ego aside nonsense.,-0.1779,0.107,0.144,0.749
okay so im an iPhone user since last 6 years my first iphone was XR then i switched to 13 and now 15 but i kind of started hating on how basic it is :/ and like i agh,-0.5927,0.099,0.16,0.741
What the heck is a base flagship. A phone is either flagship or not a flagship,0.129,0.164,0.076,0.76
none.answer is none,0.0,0.0,0.0,1.0
"Clearly the winner is samsung, BUT there are better phones in the market with better specs and pricing. Go for samsung if you are confused between iphone or samsung.",0.8402,0.307,0.076,0.617
7:35 baner temple,0.0,0.0,0.0,1.0
"Screen on time in every youtube videos are wrongly portraied
Iphone that got 7 hours sot used youtube 27 percent while 6 hrs SOT had camera eating battery for 34 percent ....if you you use camera record 4k video no phone can give you more than 6 hrs SOT",-0.296,0.0,0.044,0.956
60 hz ❌ 120 ✅ that's all,0.0,0.0,0.0,1.0
"Damn the bezels on the iphone compared to the galaxy are thickkk😮 same thing with the weight, for some reason the iphone is much heavier with less hardware. Strange",-0.4976,0.0,0.12,0.88
But at exynos region s24..s25 with overclocked 8 elite like a massive update,0.5023,0.213,0.0,0.787
"Al lot of people in this chat are Apple fans, justifice anything. People whitout brain (I'm not fan of Samsung).",-0.2411,0.0,0.094,0.906
Samsung Galaxy 25 or Iqoo 13 which is the best ???,0.6946,0.322,0.0,0.678
Bro ni american aa tamilan aa,0.0,0.0,0.0,1.0
These edits with skulls are not funny anymore... It's just boring.,-0.5727,0.0,0.343,0.657
03:01 what kind of software or app u can clone the app layout as same as.......?,0.0,0.0,0.0,1.0
If only S25 had a stylus,0.0,0.0,0.0,1.0
16Pro Max?,0.0,0.0,0.0,1.0
I seriously want the s25😍,0.3818,0.358,0.142,0.5
S25 speed like a ferrari,0.3612,0.385,0.0,0.615
Apple won’t push the standard iPhones to 120 because that’s the main reason people buy the pros,0.0,0.0,0.0,1.0
They both suck at their price but the S25 is still much better,0.4404,0.229,0.116,0.655
Samsung deu uma surra de pau mole na cara do iPhone.,0.0,0.0,0.0,1.0
It would affect the pro sales because there is the standard Pro version which has the same size screen as the base iPhone. That being said they should further innovate then and have a different selling point for the Pro's.,0.4939,0.076,0.0,0.924
S25🔥,-0.34,0.0,0.706,0.294
Iv got the s25,0.0,0.0,0.0,1.0
s25 is so smooth ❤❤❤,0.9308,0.648,0.0,0.352
60hz iphone -> 💩,0.0,0.0,0.0,1.0
Samsung win,0.5859,0.792,0.0,0.208
"Samsung
⬇️",0.0,0.0,0.0,1.0
"My Wife is Apple, Ive been Android my whole life. I use Google Pixel phones now. I love them and the price point.",0.6369,0.16,0.0,0.84
iPhone is a dying smartphone,0.0,0.0,0.0,1.0
"Codm player here, I use 90 fps whenever I play normal/grinding camos but I always turn on 120 when ranked. One time I was away from home tryna save battery so I tried 60 ngl it legit hurts my eyes💀
60hz is a deal breaker for me",0.2144,0.109,0.075,0.816
60HZ is a deal breaker Xiamoi has 120 hz lazy mfs,-0.3612,0.0,0.2,0.8
only issue in 16 series is the refreshrate problem noticeable on facebook when browsing hope it will fix on the update. the cam and the batt lofe of 16 is great,0.6486,0.186,0.072,0.743
so dudes in my opinions25 is doing greatert than iphone but im confused with stability in the long term can someone advise me,-0.4497,0.0,0.118,0.882
"The battery doesnt sound bad at all. At least for me, my google pixel 4a 5gs battery is on its last leg, so this is phenomenal",0.431,0.102,0.0,0.898
Samsungs low light video has me second guessing about buying this phone,-0.2732,0.0,0.16,0.84
Sy suka berbahasa indonesia 🎉,0.4019,0.351,0.0,0.649
?? Glueing something on is a way to attach something. My question is are they falling of from normal use and is this method better for repairs,0.3939,0.109,0.054,0.837
5:00 shots fired hahaha,0.0,0.391,0.391,0.217
오 두폰 색상 비교하는거 보고팠는데 오😮색감 찐하네요,0.0,0.0,0.0,1.0
A56 vs A55  and later A56 vs Pixel 9a in a couple of weeks 🙏🏻,0.0,0.0,0.0,1.0
The iPhone‘s bezels are ANCIENT!,0.0,0.0,0.0,1.0
Super travail merci beaucoup j'ai vraiment fini par faire un choix prochainement svp faite un comparatif avec le iPhone 16e et le samsung s25 si possible,0.5994,0.135,0.0,0.865
i buyed camera lens for my a54 same outfit to protect. Now samsung providing for s25 . what a design,0.3818,0.12,0.0,0.88
Which software do you use for video editing.,0.0,0.0,0.0,1.0
I have been a  Samsung S 23 user I had issues of heating and hanging so I prefer the I phone,0.0,0.0,0.0,1.0
culattone i telefoni rosa delle femmine,0.0,0.0,0.0,1.0
What is that carbon-fiber case on the S25?,0.0,0.0,0.0,1.0
How long battery last,0.0,0.0,0.0,1.0
Wow! Samsung beats Apple in the base model lines,0.6239,0.338,0.0,0.662
This should be the review of the year. 💯,0.0,0.0,0.0,1.0
AI音声嫌い　つまらん,0.0,0.0,0.0,1.0
Winner is Vivo x200 pro for the same or cheaper price and better for all characteristics,0.7717,0.324,0.0,0.676
Which two cameras would you like me to compare next? - Joe,0.3612,0.185,0.0,0.815
I love this blind test are the best ❤,0.8879,0.58,0.144,0.276
☑️ or turn off photographic styles on ya video at night it looks like it’s forcing warm tone,0.5267,0.188,0.0,0.812
"I've seen a lot of apple fans saying the s25 ultra delivers unrealistic colors, as if the iphone did it better.  I personally think they say that bc they arenused to how people look on social media,  bc many of those videos are made with iphones, but when u compare it to a real camera u notice how weir the things look in the iphone; people are always orange 🍊,  things have fixed colors for social media, and i just dont like that, thats why i thing the log video feature is a valuable addition.  Not saying samsung does it better,  but i definitely go for the s25 ultra as my next phone.",0.8965,0.109,0.021,0.87
Can you ditch that annoying music?,-0.4019,0.0,0.351,0.649
Congrats for 100k.🎉 awesome video. Im wating to buy s25 ultra 🌸🍁,0.8807,0.421,0.0,0.579
Bu kadar detaylı bir şekilde İncelediğiniz için teşekkürler. Şu ana kadar gördüğüm en iyi karşılaştırma videosu...,0.0,0.0,0.0,1.0
"Thumbnail looks like an iPhone 15 Pro, not a 16 Pro.",0.3612,0.2,0.0,0.8
"I would have to see a Pic of the Moon, but thank you for all the good info.",0.7964,0.307,0.0,0.693
"Hi, i noticed your channel is really high quality. You put a lot of effort into it, which is great. Could you please add caption to your videos? 🫰",0.7506,0.192,0.0,0.808
11:38 might i ask what is realistic you are refering ?? cause in samsungs shot there is a lot of banding in the sky and iphone seems clearer to me ...idk it might be yt compression tho ..your answer will be really helpful,0.4684,0.075,0.031,0.894
"Bring in some heavy hitters for your comparisons! Vivo x200 Pro, Oppo Find x8 Pro, Xioami 15U, etc. Samsung and Apple seem to have hit a roadblock on camera tech.",0.0,0.0,0.0,1.0
who ever has what ever is best for him/her.,0.6369,0.344,0.0,0.656
Why didn't you compare the 25 ultra to 2016 pro Max??? They're both the same size... Not the smaller pro iPhone versus the biggest Samsung,0.0,0.0,0.0,1.0
"as sigma launched rf mount aps-c lenses. please do a 
quality and sharpness test among sigma 18-50mm rf mount (use canon r50) and sigma 18-50mm e mount (use sony zv e10 or a6400).....please please please",0.7506,0.213,0.0,0.787
iPhone is the camera phone,0.0,0.0,0.0,1.0
"8:55 hmmm, even after grading the Galaxy fails to deliver red color. That problem had been there with Samsung for ages.",-0.6705,0.0,0.224,0.776
"Found your video via recommendations on my watch list, good review, I came from the iPhone 12 to the s24 ultra, don't get me wrong I love the 24  ultra  but after 2 months I found it too big with a case on (couldn't try size of s24 ultra with case on in any shop, so I took a gamble n bought 24 ultras direct from Samsung) after 2 months, thought it too big to handle the text messaging etc  with 1 hand,  & thank you to your review I  most prob go back to the I phone, only downside to I phone is much less storage compared to Samsung you get. Look forward to seeing more of your  reviews, you have a new subscriber",0.8854,0.103,0.018,0.879
Uve got a sub ❤,0.6369,0.457,0.0,0.543
Great work from you... I expect Apple to be the successful one.,0.836,0.441,0.0,0.559
Haber quien a echo este vídeo hay que ser un poco corto de mente hacer un test de un teléfono de 120hz conteo uno de 60hz es que parecemos cromañones aun….ostia p…a,0.0,0.0,0.0,1.0
The s25 wins without doubt cause 120hz.,0.7013,0.537,0.0,0.463
S25はiPhoneをコピーしていますね,0.0,0.0,0.0,1.0
"iPhone 16 better more stable n ram is working better, s25 12gb ram is like fake 😅😅",0.8932,0.44,0.086,0.474
애플의 고집스런 60hz는 구매자를 엿먹인다 커다란 카메라홀도 마음에안들어 배젤도 고대유물같아 비교할수가 없는영상이다,0.0,0.0,0.0,1.0
"S25 should be atleast 6.3 and s25 + is unnecessary 
That's my personal opinion 
😅 Samsung rocks",0.3612,0.116,0.0,0.884
S25❤,0.6369,0.677,0.0,0.323
🎉🎉🎉,0.7964,0.73,0.0,0.27
애플 아이폰17 일반 라인에도 60hz 넣으면 진짜 인정이다 ㅋㅋ,0.0,0.0,0.0,1.0
god.. samsung,0.2732,0.677,0.0,0.323
High mb k game me iphone dhul chata de raha samsung ko,0.0,0.0,0.0,1.0
"私は現在  iPhoneSE3を使っています。
この動画を見て GALAXYに移行します❤ GALAXYお財布に優しい",0.6369,0.412,0.0,0.588
Iphone ❤,0.6369,0.677,0.0,0.323
is that s25 or s25+?,0.0,0.0,0.0,1.0
samsung win,0.5859,0.792,0.0,0.208
S25 Wins ! ❤,0.8478,0.732,0.0,0.268
I phone for me😅,0.3612,0.263,0.0,0.737
S25 wins,0.5719,0.787,0.0,0.213
Sumsung is king 👑,0.0,0.0,0.0,1.0
"who tf compares the phones like this in 2025? this is BS lol and yes i the samsung more, dunt give an F if it performed better than the iPhone opening things, its irrelevant it the iphone took 0.1 secs more than the samsung opening something, this is re.tarded.",0.872,0.195,0.0,0.805
Iam a samsung fan but Iphone photo is better than samsung,0.6705,0.379,0.0,0.621
Samsung☠️😍😍,0.7184,0.375,0.0,0.625
iPhone got more nice quality while Samsung got that brownish ai shade which is they are yapping about😂,0.7178,0.239,0.066,0.695
iPhone,0.0,0.0,0.0,1.0
SAMSUNG ALL THE WAY❤,0.6369,0.457,0.0,0.543
S25 is best,0.6369,0.677,0.0,0.323
सैमसंग लवर like,0.3612,0.556,0.0,0.444
Un100.para Samsung el mejor💪💪💪💪💪💪💪💪♥️👍👍👍👍,0.6369,0.127,0.0,0.873
I owned it S25🙂‍↔️,0.4033,0.253,0.0,0.747
सैमसंग गैलेक्सीs25,0.0,0.0,0.0,1.0
S ❤,0.6369,0.677,0.0,0.323
Айфон убожество,0.0,0.0,0.0,1.0
Always Iphone 🔛🔝,0.4263,0.361,0.0,0.639
I love iPhone ❤,0.8555,0.737,0.0,0.263
Iphone copia samsung,0.0,0.0,0.0,1.0
Tompelnya besar apakah bisa hilang iphome 16,0.0,0.0,0.0,1.0
S25❤,0.6369,0.677,0.0,0.323
Samsung is the best Android phone 😎,0.802,0.474,0.0,0.526
So irritating when he vibrating the phones😒,-0.5095,0.0,0.292,0.708
Samsung s25 ❤❤❤,0.9274,0.716,0.0,0.284
"bro even my 11 pro max can do that, you turned off the feature",0.0,0.0,0.0,1.0
Это + самсунга:],0.0,0.0,0.0,1.0
"👑
Iphone",0.0,0.0,0.0,1.0
"É só ativar, né? Animal..",0.0,0.0,0.0,1.0
Заахвхахвх он же прост закрыл дибил,0.0,0.0,0.0,1.0
You can see it go up slowly at the end it goes slowly because it doesn’t flash bang you if I’m correct you can let it go fast too like Samsung,0.3612,0.077,0.0,0.923
Noi IPhone lepszy,0.0,0.0,0.0,1.0
Je suis trop attiré par les Samsung jsp pk,0.0,0.0,0.0,1.0
You are turn off automatic brightness in the I phone,0.3818,0.224,0.0,0.776
А Redmi Note 14 тоже реагирует на свет,0.0,0.0,0.0,1.0
Iphon🥰,0.8074,0.646,0.0,0.354
one is like $2k more :O,0.0191,0.28,0.272,0.448
I tried it bc I have a Samsung and it actually worked,0.0,0.0,0.0,1.0
i hate that feature so much first of all,-0.5719,0.0,0.316,0.684
Listen bro I hove nothing against Samsung or android and you can give them as many better features and quality as you like but iPhone just remains aesthetically pleasing to me,0.8074,0.229,0.0,0.771
Then randomly khaby lame comes in😐😤👉💀💀💀💀💀,-0.4215,0.0,0.118,0.882
Motorola tem isso a anos,0.0,0.0,0.0,1.0
Bullshit sry,-0.5859,0.0,0.792,0.208
Ну я сразу эту функцию отключаю,0.0,0.0,0.0,1.0
Galaxy S25 Ultra: better????????,0.594,0.563,0.0,0.437
